Real_FileName,Start_Time_ms,Hop_BW_MHz,Hop_Dur_ms,Video_Period_ms,Video_DutyCycle_pct,Predicted_Model,Match_Score
T0001_D00_S0000,0,2.65625,1.69664,17.50048,11.1707535812904,Phantom 4 Pro,2.22716313368225
T0001_D00_S0000,50,2.8076171875,1.87056,10.4992,20.0446503499022,Phantom 4 Pro,2.24031955226223
T0001_D00_S0000,100,2.52685546875,1.74736,NaN,NaN,Phantom 3,0.516653080728153
T0001_D00_S0000,150,2.56696428571429,1.86779428571429,NaN,NaN,Phantom 3,0.546546588093021
T0001_D00_S0000,200,2.62044270833333,1.86304,NaN,NaN,Phantom 3,0.583555618967608
T0001_D00_S0000,250,2.6171875,1.865728,35.00032,5.34669397308368,Phantom 4 Pro,12.1551818312537
T0001_D00_S0000,300,2.89713541666667,1.86816,11.6672,17.7994155342157,Phantom 4 Pro,1.68744975566725
T0001_D00_S0000,350,1.9775390625,1.72448,2.43552,72.2694579755209,Phantom 4 Pro,6.7030839470827
T0001_D00_S0000,400,2.86458333333333,1.87050666666667,11.6680533333333,17.8244995989162,Phantom 4 Pro,1.67590220908133
T0001_D00_S0000,450,2.9296875,1.87072,10.5,20.0491430454251,Phantom 4 Pro,2.26999775950376
T0001_D00_S0000,500,2.9296875,0.912000000000001,6.99989333333333,26.7280270699587,Phantom 4 Pro,4.29384055721555
T0001_D00_S0000,550,2.9296875,0.957440000000002,7.00362666666666,26.7898271624887,Phantom 4 Pro,4.28287167580484
T0001_D00_S0000,600,2.734375,1.87008,7.00032000000001,26.6831255423249,Phantom 4 Pro,4.14598284108947
T0001_D00_S0000,650,2.83203125,1.87008,8.400128,24.0485156004632,Phantom 4 Pro,3.37835200604085
T0001_D00_S0000,700,2.83203125,1.86304,8.39987200000001,24.0465711091703,Phantom 4 Pro,3.37895662892953
T0001_D00_S0000,750,NaN,NaN,6.99989333333334,26.6655506182877,Phantom 4 Pro,32.3882925351849
